Title,Lyrics
TAEYEON - VOICE,"
[Intro]
All the voices in my heart
願い叶うのなら ひと目でいいから
あなたはいま どこにいますか
[Verse 1]
誰ひとりいない街を
影を追いながら歩くの
止まることなど出来ない
つらくても
[Pre-Chorus]
""Here we go, here we go"" 声がするの
問いかけても応えのない voice
儚くて 微かで 消えそうな
[Chorus]
All the voices in my heart (Hey!)
消えない声が 幾度こだました (Hey!)
あなたはいま どこにいますか
You're always in my heart (Hey!)
耳をすませば あなたの声が (Hey!)
まだ私には頼りなの
[Post-Chorus]
I got your voice
どこにいますか
You hear me call?
[Verse 2]
新しい陽を見ると
追い詰められそうになるの (Oh)
逃げるように走る
つらくても (Hey)
[Pre-Chorus]
""Here we go, here we go"" あの声が
背中を押してくれるから
だから歩いて来れたんだ
(だから歩いて来れた!)
[Chorus]
All the voices in my heart (Hey!)
消えない声が 幾度こだました
あなたはいま どこにいますか
You're always in my heart (Hey!)
耳をすませば あなたの声が (Hey!)
まだ私には頼りなの
[Post-Chorus]
I got your voice
どこにいますか
You hear me call?
(Yeah, yeah, oh woah!)
[Bridge]
毎日あなたを待ってしまう
思い出と生きる私を
笑い飛ばしてくれるの?
Oh-oh, oh-oh-oh
[Chorus]
All the voices in my heart
あなたの声がもう一度だけでも (その声が)
聞けるのならどうか教えて
All the voices in my heart
願い叶うなら ひと目でいいから
あなたはいま どこにいますか
[Post-Chorus]
I got your voice
どこにいますか (どこにいますか)
You hear?
あなたはいま どこにいますか"
TAEYEON - Why,"
[Intro]
Oh, woah-ooh, yeah yeah
[Verse 1]
Oh, 언젠가는 내 두 발이, oh, 닿는 대로
이끌리는 시선을 뺏겨버린 대로
가볍게 걸어갈 낯선 곳을 그리다
또 결국엔 허전한 긴 한숨에 멈춰
[Pre-Chorus]
Why? Why 돌아서 또 넌
Why? Why 꿈만 가득해?
[Chorus]
지금 떠난다면 good, good, good, yeah
만나게 될 모든 건 great, great, yeah
가벼워진 맘이 work, work, baby
이미, 이미 눈 앞에
아른아른대는데, 망설여 why?
[Verse 2]
나침반 위 돌아가던 바늘이
멈춘 곳에 가득 핀 이름 모를 꽃잎이
널 위해 끌어당긴 빛이 담긴 풍경 속에
어서 뛰어들어, 나보다 자유롭게 더
[Pre-Chorus]
Why? Why? Why?
괜히 미뤄 왔던 날
많았던 걱정이 모두 다 사라진 tonight, yeah
[Chorus]
바람 불어오면 good, good, good, yeah
펼쳐지는 모든 건 great, great, yeah
달라지는 맘이 work, work, baby
이미, 이미 눈 앞에
아른아른대는데
지금 떠난다면 good, good, good, yeah
만나게 될 모든 건 great, great, yeah
가벼워진 맘이 work, work, baby
이미, 이미 눈 앞에
아른아른대는데, 망설여 why?
[Bridge]
쫓아가기도 벅차 숨이 찬 세상이 전부는 아냐
하루종일 걸어도 똑같은 풍경은 절대 보이지 않아
하얀 종이에 적어본 ""why?"" 잉크처럼 번지는 맘
I'm falling, I'm falling, I'm falling to you
[Chorus]
Oh, 바람 불어오면 good, good, good, yeah
펼쳐지는 모든 건 great, great, yeah
달라지는 맘이 work, work, baby (Baby)
이미, 이미 눈 앞에
아른아른대는데
지금 떠난다면 good, good, good, yeah
만나게 될 모든 건 great, great, yeah (만나게 될 모든 건)
가벼워진 맘이 work, work, baby (Work, baby)
이미, 이미 눈 앞에
아른아른대는데, 망설여 why?"
TAEYEON - 날개 (Feel So Fine),"
어둠 속에 파고든 내 안에 날 가두던
시간은 이미 지나고 it fades away
하염없이 떠돌다 낯선 벽에 부딪혀 버린
Oh 이제 난 어디로 please hold my hand
[Verse 2]
하나둘씩 열어 감춰왔던 나를 깨워
잊으려 했던 결국엔 늘 잊을 수 없었던 꿈들
한 번도 제대로 날지 못한 내 두 날개
새롭게 펼쳐봐 또 날아봐 이제
[Chorus 1]
그려만 왔던 지금 내 모습
아직 난 믿기지 않아
쏟아지는 햇살 스치는 바람
Just realize I feel so fine
나의 날개 위 oh 찬란히 새긴
I know, you know 매일 꿈꾸던 world
I feel so fine
하늘 끝까지 oh 가득 펼쳐진
I know, you know 환히 빛나는 world
I feel so fine
[Verse 3]
말없이 앉아 방황했던 길에서 마주했던 밤도
전부 괜찮아 이젠 모두 다 I don’t care
혼자라는 편안함 속 피어오른 외로움도
이제는 다 I can let it go baby
[Verse 4]
지구 반대편 어딘가 내게 외쳐온 메아리
네 눈앞에 펼쳐질 저 벽 너머의 세상을 찾아
둘러싼 현실 그보다 먼저 넘어설 나란 벽
계속해서 지켜가 내 자신이 할 수 있다 믿어
[Chorus 1]
그려만 왔던 지금 내 모습
아직 난 믿기지 않아
쏟아지는 햇살 스치는 바람
Just realize I feel so fine
나의 날개 위 oh 찬란히 새긴
I know, you know 매일 꿈꾸던 world
I feel so fine
하늘 끝까지 oh 가득 펼쳐진
I know, you know 환히 빛나는 world
I feel so fine
I feel so fine
I feel so fine
[Chorus 2]
내 안의 나를 넘어선 순간
새로운 세상이 보여
쏟아지는 햇살 스치는 바람
Just realize I feel so fine
나의 날개 위 oh 찬란히 새긴
I know, you know 매일 꿈꾸던 world
I feel so fine
하늘 끝까지 oh 가득 펼쳐진
I know, you know 환히 빛나는 world
I feel so fine
English Translation
Deep in the darkness
Trapped inside
Time has already passed
It fades away
Endlessly floating
Bumped into a strange wall
Oh now where am I?
Please hold my hand
Opening up, one by one
Waking my hidden self
Dreams I tried to forget
But in the end, I couldn’t
My wings
That have never flown properly
Spread them out like new
Fly again now
I’ve only dreamed of myself like this
I still can’t believe it
The spilling sunlight, the passing wind
Just realize I feel so fine
Oh oh on top of my wings
Oh oh brightly engraved
I know you know
The world I dreamed of every day
I feel so fine
Oh oh to the end of the sky
Oh oh spread out
I know you know
The brightly shining world
I feel so fine
On the path I silently wandered around
The nights that I faced
Everything’s alright now
I don’t care
In this peaceful solitude
Even when the loneliness rises
Now
I can let it go baby
Somewhere on the other side of the earth
The echo has come to me
The wall is before your eyes
Climb over it and find the world on the other side
More than the reality around you
I need to climb over my own wall
I’m gonna keep going
I believe I can do it
I’ve only dreamed of myself like this
I still can’t believe it
The spilling sunlight, the passing wind
Just realize I feel so fine
Oh oh on top of my wings
Oh oh brightly engraved
I know you know
The world I dreamed of every day
I feel so fine
Oh oh to the end of the sky
Oh oh spread out
I know you know
The brightly shining world
I feel so fine
Oh yeah I feel so fine
Oh yeah I feel so fine
Oh yeah ooh oh yeah
Oh yeah oh
The moment I climbed over myself
I see a new world
The spilling sunlight, the passing wind
Just realize I feel so fine
Oh oh on top of my wings
Oh oh brightly engraved
I know you know
The world I dreamed of every day
I feel so fine
Oh oh to the end of the sky
Oh oh spread out
I know you know
The brightly shining world
I feel so fine"
TAEYEON - 저녁의 이유 (All Night Long),"Yeah, muse I see the light
Through the night I hold you
My moonlight, loving you brings me to life
도시의 불빛, 너와 나 서로가 서로를 원해
Oh my goddess
취해도 돼 uh, 솔직한 널 원해
Lovely face, the magical sunset
Whoa 헤매던 너를 안을게 beautiful angel
Let me be your holiday, fly
Wake up 그 시간이야
Sunset 붉어지는데
지친 하루를 보냈지
뭔가 필요해
빌딩 끝자락 걸린 해질녘 무른 공기
My God, 우리 만날까?
이렇게 기분이 들뜨는 저녁인데
Take it slow
촛불 우리를 안고
I wanna take it slow
커진 음악 속에 데려가
All night long, going high to the starlight
반짝이는 시간 속에 뭔가 시작되는 듯해
All night long, 쏟아져 내릴 moonlight
서로 달라 보이는 건 붉은 노을의 마법
Huh huh huh
Huh huh huh
Huh huh huh
오늘 저녁의 이유
불빛 따스한 바람과
코끝 스친 향기와
모든 게 완벽해
믿을 수가 없어
부딪혀 오는 champagne 솔직해지는 얘기
My God, 손끝 가까이
이렇게 이만큼 너와 나 가까워져
Take it slow
화려한 도시 어딘가
I wanna take it slow
헤매던 우리가 서로를 만나
All night long, going high to the starlight (all night long)
반짝이는 시간 속에 뭔가 시작되는 듯해
All night long, 쏟아져 내릴 moonlight
서로 달라 보이는 건 붉은 노을의 마법
Huh huh huh
Huh huh huh
Huh huh huh
오늘 저녁의 이유
잠들지 못할 것 같아
기분 좋은 이 설렘과
날 보던 따스했던 눈빛
이 모든 것들이 마음속 커져가
꿈으로의 invitation
우리 둘만의 nation
이젠 피어나고 싶어
Ooh, my love...
Huh huh huh
Huh huh huh
Huh huh huh
밤이 아름다운 이유는 너란 걸
All night long, going high to the starlight (알아, oh)
반짝이는 시간 속에 붉은 노을에 취해
Huh huh huh (all)
Huh huh huh (night long)
Huh huh huh (yeah)
오늘 저녁의 이유 (going high to the starlight)
Huh huh huh
Huh huh huh (ooh)
Huh huh huh (ooh)
오늘 저녁의 이유"
TAEYEON - This Christmas,"
[Verse 1]
왠지 따뜻했던 그날 밤
눈꽃이 내려앉은 두 볼에, oh, woah
스치듯 가벼운 너의 입술이, oh
난 아직 잊혀지지가 않아
[Pre-Chorus]
Beautiful night, 그날의 널 기억해
마치 시간을 되돌린 듯
날 찾아와주길, oh, woah
[Chorus]
Christmas, 꿈결 같던 Christmas
기억하고 있어
네가 남긴 달콤한 속삭임
커져간 떨림, oh, Christmas
네가 있던 Merry Christmas, 영원할 것 같았던
간절한 이 마음을 전해
I pray on this Christmas
[Verse 2]
문득 생각이나 그날 밤
유난히 따뜻했던 두 손이, oh, woah
얼어붙은 내 맘을 녹여주던, oh
난 왠지 어제처럼 느껴져
[Pre-Chorus]
Beautiful night, 그날의 널 기억해
마치 운명이 우릴 채운 듯
날 찾아와주길, oh, woah
[Chorus]
Christmas, 꿈결 같던 Christmas
기억하고 있어
네가 남긴 달콤한 속삭임
커져간 떨림, oh, Christmas
네가 있던 Merry Christmas, 영원할 것 같았던
간절한 이 마음을 전해
I pray on this Christmas
[Bridge]
찬란했던 그 겨울 앞에 내가 서있어
다시 찾아온 계절이
너를 반기고 함께 와주길
[Chorus]
Christmas, 꿈결 같던 Christmas
기억하고 있어
네가 남긴 달콤한 속삭임
커져간 떨림, oh, Christmas
네가 있던 Merry Christmas, 영원할 것 같았던
간절한 이 마음을 전해
I pray on this Christmas
[Outro]
Ooh, 간절한 이 마음을 전해
I pray on this Christmas"
TAEYEON - I Blame On You,"
[Verse 1]
이 바람이 부르는 기억에
먼지 쌓인 태엽을 돌리면
선명해지는 지난 날의 너와 내가
이 계절 속에 향기로 날 파고들어
[Chorus]
I blame on you
닿을 수 없는 시간을 지나서
I blame on you
흩어지는 그날의 조각들
그리움 닮은 파도 따라
울컥해진 계절 안에서
I blame on you
닿을 수 없는 너에게 난
[Verse 2]
따스하게 햇살이 비추면
저 꽃처럼 내게로 피어나고
몇 번의 밤을 더 보내면 잊게 될까
매일 같은 기억 속을 자꾸 맴도는 난, so
[Chorus]
I blame on you
닿을 수 없는 시간을 지나서
I blame on you
흩어지는 그날의 조각들
그리움 닮은 파도 따라
울컥해진 계절 안에서
I blame on you
닿을 수 없는 너에게 난
[Bridge]
떨리는 입술로 숨겨왔던 내 비밀은
아직도 feel like I'm alone
Alone
[Chorus]
I blame on you
내 기도가 너에게 닿을까?
I blame on you
언제쯤 널 무던히 말할까?
한참을 벗어날 수 없는
너의 그림자에 갇힌 난
I blame on you
흔들리는 날 잡아줘 너에게로"
TAEYEON - 들리나요... (Can You Hear Me),"
[Verse 1]
조금만 아파도 눈물나요
가슴이 소리쳐요
그대 앞을 그대 곁을 지나면
온통 세상이 그대인데 그대만 그리는데
그대 앞에선 숨을 죽여요
[Pre-Chorus 1]
내게 그대가 인연이 아닌 것처럼
그저 스치는 순간인 것처럼
쉽게 날 지나치는 그대 곁에
또 다가갈 한걸음 조차 채 뗄 수 없을지라도
[Chorus]
서성이게 해 눈물짓게 해
바보처럼 아이처럼
차라리 그냥 웃어 버려
점점 다가설수록
자꾸 겁이 나지만
이 사랑은 멈출 수가 없나봐
[Verse 2]
왜 내 사랑만 더딘거죠
내 사랑만 힘들죠
그대 앞에 그대 곁에 있어도
온통 세상이 그대인데
그대만 보이는데
그대 앞에선 난 먼 곳만 봐요
[Pre-Chorus 2]
내게 그대가 꼭 마지막인 것처럼
내겐 마지막 순간인 것처럼
쉽게 날 지나치는 그대 곁에
또 다가갈 한걸음 조차 채 뗄 수 없을지라도
[Chorus]
서성이게 해 눈물짓게 해
바보처럼 아이처럼
차라리 그냥 웃어버려
점점 다가설 수록
자꾸 겁이 나지만
이 사랑은 멈출 수가 없나봐
[Bridge]
먼 발치서 나 잠시라도
그대 바라볼 수 있어도 그게 사랑이죠
[Outro]
혹시 이 기다림이 이 그리움이
닿을 때면 들릴 때면 차라리 모른 척 해줘요
그대에게 갈수록 자꾸 겁이 나지만
이 사랑은 멈출 수가 없네요"
TAEYEON - I’m OK,"
아무렇지 않은 척해도 다 모른 척해도
매일같이 나를 깨우던 너라는 악몽
차가운 시선과 싫증 난 표정 돌려보낼게
나도 지겨워 하나 둘씩 모두 버릴게
[Verse 2]
아무리 널 믿어보려고 노력해 봐도
이리저리 내 눈을 피해 네 입술은 또 또
다 잊을게 잊어버릴래
더는 관심도 흥미도 없어
모두 깨끗이 남김없이 널
[Chorus]
영원히 함께라고 믿었던 한때도
저기 바람결에 날려 멀리 날려봐
괜찮아 이젠 나도 나만의 길을 찾아
내 꿈을 따라 갈래 I’m OK, OK
[Verse 3]
무심한 척 떠보듯이 또 연락을 하고
괜시리 날 신경 쓰는 척 눈길을 주지
이 애매한 미지근한 something
밀고 당기는 사이는 난 싫어
No thanks, baby
[Chorus]
영원히 함께라고 믿었던 한때도
저기 바람결에 날려 멀리 날려봐
괜찮아 이젠 나도 나만의 길을 찾아
내 꿈을 따라 갈래 I’m OK, OK
[Verse 4]
시간이 흘러가면 널 가끔 떠올려도
웃음 섞인 미소를 짓고 태연하겠지
아픔도 눈물도 이젠 다 끝났어
너 없이 난 오늘부터 너 없이도 난 OK
[Outro]
Right, alright, alright
Right, alright, alright
Right, alright, alright
Right, alright, alright
Right, alright, alright
Right, alright, alright
I’m OK
English Translation
I try to pretend that I’m fine
I try to ignore everything
Every day, your nightmare wakes me up
Your cold eyes
Your annoyed face
I’ll return it all
I’m sick of this too
I’ll throw it all out
No matter how hard
I try to trust you
You’re avoiding my eyes
Your lips are, again, again
I’ll forget it all, I wanna forget you
I have no interest anymore
I’ll clean my slate, with nothing left behind
At one time
I believed we would be together
But now I’m sending those days off to the wind
Far away
It’s alright, now I’ll
Find my own way
I wanna follow my dream
I’m ok ok
You pretend to be indifferent
Calling me as if you’re testing me
Pretending to care about me
You look at me
This ambiguous and lukewarm something
I don’t like playing games of push and pull
No thanks baby
At one time
I believed we would be together
But now I’m sending those days off to the wind
Far away
It’s alright, now I’ll
Find my own way
I wanna follow my dream
I’m ok ok
After time passes
And I think of you sometimes
I’ll laugh with a smile
Calmly
Pain and tears
It’s all over now
Without you you, from now on
Even without you, I’m ok
Right alright alright
Right alright alright
Right alright alright
Oh oh oh
Right alright alright
Right alright alright
Right alright alright
I’m ok
Korean: music.naver
Rom: CCL"
TAEYEON - Happy,"
Happy, lalala
Happy, lalala
Happy, lalala
Happy, happy, happy
[Verse 1]
계절이 번져와 두드린 꿈일까
그대는 내 귓가에 달콤하게
Tell me baby baby
(Hoo)
손꼽아 왔던 밤
(꿈꺼은 밤)
널 상상할 때마다
(그때마다)
아무도 모르게 미소를 짓곤 해
Thinking 'bout you lately
[Pre-Chorus]
수없이 기다린 우리의 이 밤이
일 년을 돌고 돌아 내게 와준 기적 같아
[Chorus]
오늘 밤 난 happy
포근한 이 꿈
얼어있던 계절은 너와 내 온기에 녹아들고
그대 품에 안겨 꿈꾸는 멋진 밤
오랜 시간 속 둘만의 소원을 속삭여 봐
함께 있어 난 happy
영원할 이 꿈
(Ha, ha)
[Post-Chorus]
Happy, lalala
(Happy, happy)
Happy, lalala
(Happy, happy)
Happy, lalala
(Happy, happy)
Happy, happy, happy
[Verse 2]
끝없는 얘기들
멈추고픈 순간들
(Hoo hoo)
아쉬워질 듯한 숨결마다
Kiss me baby baby
너만의 온도로 (어서 baby)
빈틈없이 날 감싸 줘 (Oh)
이 밤 가득한 떨림이 잠들 때까지
(까지)
Oh I'm crazy
(Crazy)
[Pre-Chorus]
밤새워 속삭인 눈부신 설렘이 (Baby)
그 어떤 장면보다 잊지 못할 선물 같아
[Chorus]
오늘 밤 난 happy
포근한 이 꿈 (포근한 꿈)
얼어있던 계절은 너와 내 온기에 녹아들고 (Ahh)
그대 품에 안겨 꿈꾸는 멋진 밤
오랜 시간 속 둘만의 소원을 속삭여 봐 (속삭여 봐)
함께 있어 난 happy
영원할 이 꿈
(Ha, ha, ho ho)
[Bridge]
계절이 지나 모든 게 흘러도
변치 않을 이 순간 promise you
이대로 오늘의 행복한 기억은 녹지 않게
[Chorus]
널 보면 난 happy
깨기 싫은 꿈
따스한 이 사랑은 추억의 한 편에 쌓여가고
그대 품에 안겨 잠이 들 깊은 밤 (잠 들 깊은 밤)
오랜 시간 속 둘만의 소원을 속삭여 봐 (속삭여 봐)
함께 있어 난 happy
(Happy, happy, happy)
영원할 이 꿈 (영원할 꿈)
(Ha, ha)
[Post-Chorus]
Happy, lalala
(Happy, happy)
Happy, lalala (Baby I hope that you're happy)
(Happy, happy)
Happy, lalala
(Happy, happy)
Happy, happy, happy"
TAEYEON - I Got Love,"
[Verse 1]
유희는 쉬워 이 밤을 보낼 그 흔한 방법
그러기엔 우린 좀 달라 분명
그러자 밤의 마법이 욕망이
달이 속삭여 괜찮아 허니
어둠이 깊어 비밀을 덮어줄 테니
이끄는 대로 가 보고 싶은데
[Chorus]
자 말해봐 want you, baby, want you, baby
우주 같은 네 안으로 need you closer
Need you closer 빠져들면
달뜬 한숨도 나부낀 나도
취한 듯 꿈을 헤매 너를 헤매 믿어지니
[Verse 2]
긴밀히 쌓인 너와 나 서로를 탐하던 단어
열기 가린 가면 벗어던져
끊어질 듯한 긴장은 의심은 사라졌으니
예 어서 와 허니
눈 앞의 존재 넌 살아 움직이는데
오감에 취해 널 더 알고 싶어
[Chorus]
자 말해봐 want you, baby, want you, baby
우주 같은 네 안으로 need you closer
Need you closer 빠져들면
달뜬 한숨도 나부낀 나도
취한 듯 꿈을 헤매 너를 헤매 믿어지니
[Verse 3]
전부 무너지게 다 녹아 버리게
터무니 없이 미치게 해
Come and turn me on, you don't stop that fire
'Cause I got love, I got love, I got love
[Chorus]
자 말해봐 want you, baby, want you, baby
우주 같은 네 안으로 need you closer
Need you closer 빠져들면
달뜬 한숨도 나부낀 나도
취한 듯 꿈을 헤매 너를 헤매 믿어지니
[Outro]
왜 이래? Trust it, 원해 you
'Cause I got love
왜 이래? Trust it, 원해 you (꿈인 듯해 너를 헤매)
'Cause I got love (난 너만 원해 믿어지니)"
TAEYEON - Cover Up,"
[Verse 1]
오늘도 별처럼 네 마음을 따라
또 너의 곁을 맴돌지
Stop, 난 어지러워 선명한 네 맘을
이젠 알고 싶어져
[Pre-Chorus]
밤하늘에도 거리에도
전부 너의 모습이 가득한 걸
좀 더 시간이 필요하다면
또 널 기다리겠지만
[Chorus]
Boy, I can't cover up my heart
널 보면 난 웃음이 새어나와
아무도 몰래 내게 스며들어
조금씩 커져 가는 맘
Boy, I can’t cover up
[Refrain]
Can't cover it up
Can't, can't cover it up, no
Can't cover it up
No, I just can't cover it up (Come on)
Can't cover it up
Can't, can't cover it up, no
커져 가는 맘
Boy, I can't cover up
[Verse 2]
난 조심스럽게 네 색깔을 입고
또 네 옆에 자릴 잡지
내 맘과 같은지 얼마만큼 인지
말을 해줘 yes or no
[Pre-Chorus]
밤하늘에도 거리에도
전부 너의 모습이 가득한 걸
좀 더 시간이 필요하다면
또 널 기다리겠지만
[Chorus]
Boy, I can’t cover up my heart
널 보면 난 웃음이 새어나와
아무도 몰래 내게 스며들어
조금씩 커져 가는 맘 (커져 가는 맘)
Boy, I can’t cover up (Boy I can't cover up, no, no)
Yeah, in my heart
언젠가 나의 곁에 와 줄 너와 ('Cause I love you, I love you, yeah)
달콤한 꿈을 꾸는 상상을 해 (In my heart, ooh)
I want you, 커져 가는 맘
Boy, I can’t cover up
[Bridge]
I said it, I said it (I love you, love you)
I mean it, I mean it (I love you, love you)
말하는 이 순간
후회한대도 너를 향한 진심인 걸
[Chorus]
Boy, I can’t cover up my heart
널 보면 난 웃음이 새어나와 (Can't cover it up, can't cover it up, no more)
아무도 몰래 내게 스며들어
조금씩 커져 가는 맘 (Boy, I can't cover up)
Boy, I can’t cover up (No, I can't cover up)
Yeah, in my heart
언젠가 나의 곁에 와 줄 너와 (Can't cover it up no more, whoa)
달콤한 꿈을 꾸는 상상을 해
I want you, 커져 가는 맘 (커져 가는 맘)
Boy, I can’t cover up
[Refrain]
Can't cover it up
Can't cover it up, no (I love you, love you)
Can't cover it up
Can't cover it up no more (I love you, love you)
Can't cover it up (No)
Can't cover it up
커져 가는 맘
Boy, I can't cover up"
TAEYEON - Fire,"
[Verse 1]
붉게 물든 창을 비춘 적막한 하늘을 보다
습관처럼 널 불러 대답이 없어 너는 보이지 않아
[Pre-Chorus]
곁을 지켜 주겠다던 속삭임 믿었던 너인데
어떤 인사 하나도 남김없이 멀어져 이렇게
[Chorus]
You're the fire 따뜻한 온도
소리 없이 끌려 난
넌 내게 번져 두 눈을 뜨면
잿빛 흔적만 남아
You're the fire
I know you're the fire
[Verse 2]
의미 없는 나의 하루 네가 없단 사실로
기대들로 쌓인 미래의 탑이 단 한순간 무너져, oh
[Pre-Chorus]
절망마저 안아주던 큰 품이 공허할 뿐인데
눈빛 손길 몰랐던 너의 거짓 끝났어 모든 게
[Chorus]
You're the fire 따뜻한 온도
소리 없이 끌려 난
넌 내게 번져 두 눈을 뜨면
잿빛 흔적만 남아
You're the fire
I know you're the fire
[Bridge]
I feel so alone
I feel so alone
I feel so alone
I feel so alone
[Chorus]
You're the fire 다가가면
내 맘까지 삼켜가 (내 맘까지, yeah)
하얗게 번져 까맣게 태워
흐린 연기만 남아 (Oh)
You're the fire (내게만)
I know you’re the fire (Fire)
[Outro]
You're the fire (Yeah, yeah)
I know you're the fire
You're the fire
I know you're the fire"
TAEYEON - 그런 밤 (Some nights),"
[Intro]
Ooh, ooh
[Verse 1]
가장 높은 음으로
불러본 너의 이름
어쩌면 닿을 것 같아, ooh
가장 아픈 봄에도
기어이 꽃이 피면
나는 그게 네 잔소리 같아
[Pre-Chorus]
이젠 긴 시간 속을
천천히 걸어 서두르기 싫어서
작고 사소한 일로
환하게 웃다가도
[Chorus]
누가 울어도 이상하지 않은 밤
난 너를 몰래 떠올려
비가 내리면 눈물이
보이지 않는 것처럼
[Verse 2]
꺼내 먹을 만큼의
행복한 기억들을
주머니에 넣으면, ooh
전부 쓰기는커녕
남겨온 날이 있어
그건 좋은 날이지
[Pre-Chorus]
지난 기억으로만
울고 웃는 게 왠지 아쉬운 거야
마음 안의 시계를
지금에 맞추지만
[Chorus]
누가 울어도 이상하지 않은 밤
난 너를 몰래 떠올려
비가 내리면 눈물이
보이지 않는 것처럼
[Bridge]
그리워하면 어디든 있는 너
늘 나와 걷는 넌
제일 밝은 곳으로만 이끌어
크게 웃어도 어색하지 않은 밤
긴 꿈을 깨지 않는 밤
[Chorus]
끝내 잊어도 이상하지 않은 날
널 보내줄 수 있겠지
그때까진 피하지 않아
그리움은 슬픔이 아냐
[Outro]
다른 시간일 뿐이야
So let the memories go on, ooh
And let the days go on and on
So let me remember
오늘 같은 밤이면
Ooh, hah-ooh"
TAEYEON - 내게 들려주고 싶은 말 (Dear Me),"
[Verse 1]
날 놓아줘
숨 쉴 수 있게
이 스쳐 가는
풍경 속에 자유롭게
[Chorus]
노래하듯 나에게도
들려주고 싶은 그 말
I love myself, I trust myself
내겐 없었던 그 말
Hmm, mmh mmh
[Verse 2]
날 가둬줘
깊은 이 밤에
잠들지 않을
외로움만 남겨둔 채 (남겨둔 채)
[Chorus]
노래하듯 나에게도
들려주고 싶은 그 말
I love myself, I trust myself
내겐 없었던
[Bridge]
길었던 어둠을 견딘 나를 봐
또다시 밤이 와도 숨지 않아
내 곁엔 내가 있어
밝아올 하늘 그 위로
퍼져가는 빛이 되어 난 날아가
[Chorus]
언젠가는 나에게도
들려줄 수만 있다면
I love myself, I trust myself
기억해줄래 (기억해줘, yeah)
[Outro]
Hey, I trust myself
기억해줘
I love myself, I trust myself
나를 안아줄 그 말"
TAEYEON - Love You Like Crazy,"
Come take my hand 감정에 휩싸인 채
생각해 널 'til the end of time
이리도 쉽게 빠져들게 될 줄이야
홀린 듯해 이미 out of control
[Pre-Chorus]
사랑이란게 참 우스워 나조차 변하게 해
뒤엉킨 hurricane 속의 널 갖고 싶어
[Chorus]
(소용돌이쳐) 소용돌이쳐
(I'll shine you up) 작은 universe ('Cause I'm in love)
Love you like crazy, yeah, yeah
미친 듯해 (난 미친 듯해)
네가 필요해 (네가 필요해)
(Baby I don’t care) Baby I don't care ('Cause I'm in love)
Just wanna love you, you
[Verse 2]
날 끌어당기는 gravity
그 힘은 너, 그 위에 서 있을래
비가 내리고 폭풍 아래 젖은 채로
너를 마셔, 온전히 느끼게
[Pre-Chorus 2]
나를 안아줘 더 강하게 원한다 소리쳐 줘
뒤엉킨 hurricane 속의 널 나만 갖고 싶어
[Chorus]
(Not to let you go) Not to let you go (Dive into your soul)
(I'll shine you up) Dive into your soul ('Cause I'm in love)
Love you like crazy, yeah, yeah
미친 듯해 (난 미친 듯해)
네가 필요해 (네가 필요해)
(Baby I don’t care) Baby I don't care ('Cause I'm in love)
Just wanna love you, you
[Bridge]
저 태양이 식어가 차갑게 굳어가
온 세상이 멈춰도
It’s okay, 그 순간에
난 너 하나면 돼
I must stick with you forever
[Chorus]
(소용돌이쳐) 소용돌이쳐
(I'll shine you up) 작은 universe ('Cause I'm in love)
Love you like crazy, yeah, yeah
미친 듯해 (난 미친 듯해)
네가 필요해 (네가 필요해)
(Baby I don’t care) Baby I don't care ('Cause I'm in love)
Just wanna love you, you (Yeah, yeah)
(Not to let you go) Not to let you go (Dive into your soul)
(I'll shine you up) Dive into your soul ('Cause I'm in love)
Love you like crazy, yeah, yeah
미친 듯해 (난 미친 듯해)
네가 필요해 (네가 필요해)
(Baby I don’t care) Baby I don't care ('Cause I'm in love)
Just wanna love you, you"
TAEYEON - 겨울나무 (I’m All Ears),"
[Verse 1]
어제보다 많이
지쳐 보이는 그대의 표정
만져 보곤 알죠
바람이 또 아프게 했나요
[Pre-Chorus]
왜 아무 말 못해요
좀 솔직해져도 돼요
[Chorus]
내게 전부 말해봐요
밤을 새도 괜찮아요
차갑던 그대 하루가
나로 인해 녹을 수 있게요
I am all ears
I am all ears 듣고 있죠
[Verse 2]
두 눈 꼭 감아요
춥지 않게 다 덮어줄게요
눈치 보지 마요
혼자 견디지 않아도 되죠
[Pre-Chorus]
왜 아무 말 없어요
좀 표현을 해도 돼요
[Chorus]
내게 전부 말해봐요
밤을 새도 괜찮아요
차갑던 그대 하루가
나로 인해 녹을 수 있게요
[Bridge]
걱정이죠 혹시
또 애써 서 있을까 봐
좀 더 참아요
여기 항상 내가 이 자리에
[Chorus]
천천히 다 말해봐요
매일 나 귀 기울여요
차갑던 계절 지나면
또 피어날 거란 걸 알아요
I am all ears
I am all ears 듣고 있죠"
